0.001251,0.192047,0.286560,0.083710,0.021423,0.223724,0.191284
0.174103,0.176178,0.396301,0.076233,0.036102,0.037018,0.104065
0.014984,0.076416,0.212585,0.060455,0.149078,0.196960,0.289520
0.004669,0.114410,0.028229,0.018585,0.279785,0.542816,0.011505
0.008911,0.368958,0.153778,0.039520,0.030579,0.005402,0.392853
0.057037,0.109192,0.185883,0.098663,0.156891,0.055359,0.336975
0.301941,0.217926,0.206787,0.056641,0.019287,0.073364,0.124054
0.142334,0.092987,0.226746,0.077271,0.386353,0.030182,0.044128
0.209595,0.570038,0.063995,0.018585,0.134552,0.002899,0.000336
0.023743,0.242462,0.031067,0.095154,0.219055,0.228638,0.159882
0.008789,0.047424,0.036407,0.283234,0.301331,0.241577,0.081238
0.272888,0.002991,0.312012,0.103271,0.035309,0.111115,0.162415
0.205353,0.252594,0.010498,0.016479,0.258789,0.205414,0.050873
0.108276,0.276947,0.213806,0.009918,0.126038,0.009430,0.255585
0.151550,0.073547,0.136230,0.063812,0.147247,0.230469,0.197144
0.168976,0.176575,0.171539,0.140198,0.094238,0.238434,0.010040
0.063538,0.083954,0.344391,0.012909,0.194946,0.249817,0.050446
0.070374,0.071198,0.161469,0.123505,0.266327,0.212219,0.094910
0.153229,0.428802,0.101135,0.138489,0.055573,0.089355,0.033417
0.155548,0.022339,0.013458,0.283905,0.028656,0.313263,0.182831
0.279572,0.126007,0.163147,0.113495,0.049774,0.023834,0.244171
0.035095,0.087921,0.244781,0.107483,0.246613,0.112762,0.165344
0.104675,0.321533,0.090790,0.145966,0.258392,0.027954,0.050690
0.316864,0.029114,0.028992,0.096741,0.077820,0.297424,0.153046
0.271881,0.025909,0.158295,0.111176,0.171906,0.243774,0.017059
0.195984,0.201660,0.103241,0.260406,0.078125,0.050720,0.109863
0.027466,0.023041,0.143555,0.337250,0.041260,0.422028,0.005402
0.123322,0.074524,0.428894,0.030853,0.184540,0.000885,0.156982
0.109924,0.176147,0.027985,0.022247,0.406799,0.197937,0.058960
0.140259,0.459961,0.107758,0.025085,0.014130,0.087402,0.165405
0.001617,0.059387,0.083466,0.108246,0.553497,0.046387,0.147400
0.014252,0.099518,0.001831,0.094971,0.243927,0.098694,0.446808
0.073883,0.128052,0.234772,0.106720,0.142700,0.066071,0.247803
0.232422,0.057922,0.146332,0.095886,0.045288,0.118347,0.303802
0.160187,0.343933,0.124542,0.067078,0.229034,0.038239,0.036987
0.178345,0.011597,0.145996,0.121490,0.537720,0.002838,0.002014
0.048431,0.045959,0.003113,0.340210,0.187439,0.306335,0.068512
0.201965,0.025330,0.062714,0.120697,0.358337,0.125549,0.105408
0.451599,0.014740,0.131470,0.006317,0.023926,0.006653,0.365295
0.375122,0.190613,0.059021,0.096130,0.107880,0.026001,0.145233
0.184265,0.004669,0.053925,0.312256,0.182770,0.167175,0.094940
0.080383,0.270905,0.143158,0.090149,0.020111,0.093781,0.301514
0.149109,0.462921,0.008331,0.070740,0.049622,0.063782,0.195496
0.043213,0.532806,0.038666,0.112976,0.140045,0.043823,0.088470
0.173920,0.131897,0.009186,0.254181,0.098572,0.308746,0.023499
0.108551,0.046326,0.172028,0.417389,0.106903,0.017822,0.130981
